Protein,Protein ID,Entry Name,Gene,CTRL-1,CTRL-2,CTRL-3,PTX3-1,PTX3-2,PTX3-3,mean c,mean ptx3,FC,log2FC,P.value,Sig
sp|P27482|CALL3_HUMAN,P27482,CALL3_HUMAN,CALML3,0.000249487,0.000241214,0.000253648,0.000258488,0.000256791,0.207836051,0.000248116,0.069450443,279.910808,8.128823383,0.373841882,not significant
sp|P27540|ARNT_HUMAN,P27540,ARNT_HUMAN,ARNT,0.000249487,0.000241214,0.000253648,0.000258488,0.000256791,0.000264092,0.000248116,0.00025979,1.04705051,0.06633104,0.052175215,not significant
sp|P27635|RL10_HUMAN,P27635,RL10_HUMAN,RPL10,12.99629762,13.23303966,15.17418898,13.90946376,13.12099829,14.34029901,13.80117542,13.79025369,0.999208637,-0.001142147,0.9894554,not significant
sp|P27694|RFA1_HUMAN,P27694,RFA1_HUMAN,RPA1,4.71596844,7.798462617,6.387457673,7.189947009,6.236597368,8.393081937,6.300629577,7.273208771,1.154362224,0.207095994,0.421752478,not significant
sp|P27695|APEX1_HUMAN,P27695,APEX1_HUMAN,APEX1,11.73533194,12.05266879,21.14435737,14.14340202,9.563935489,16.37785998,14.9774527,13.3617325,0.892123164,-0.164685196,0.683249171,not significant
sp|P27701|CD82_HUMAN,P27701,CD82_HUMAN,CD82,0.303490595,0.164575922,0.163374059,0.167229908,0.308583539,0.000264092,0.210480192,0.158692513,0.753954619,-0.407450405,0.633555003,not significant
sp|P27707|DCK_HUMAN,P27707,DCK_HUMAN,DCK,1.007836014,1.147209756,0.951516659,1.20151419,1.463222843,0.939243399,1.03552081,1.201326811,1.160118464,0.214272131,0.364083575,not significant
sp|P27708|PYR1_HUMAN,P27708,PYR1_HUMAN,CAD,2.792413726,4.497257689,4.201661113,2.931148333,2.839319218,4.83244219,3.830444176,3.534303247,0.922687575,-0.116085866,0.741004465,not significant
sp|P27797|CALR_HUMAN,P27797,CALR_HUMAN,CALR,450.7555677,432.4271361,494.1107871,507.8597335,560.0423831,513.0003905,459.0978303,526.9675024,1.147832701,0.198912381,0.051501214,not significant
sp|P27816|MAP4_HUMAN,P27816,MAP4_HUMAN,MAP4,169.7087457,139.8766886,137.0721945,160.4216522,180.0642959,168.0238837,148.8858763,169.5032773,1.138477883,0.187106265,0.158371366,not significant
sp|P27824|CALX_HUMAN,P27824,CALX_HUMAN,CANX,230.5847928,218.3449219,236.0044251,225.4203119,228.9699958,249.2578193,228.3113799,234.5493757,1.027322316,0.03888889,0.529763951,not significant
sp|P27986|P85A_HUMAN,P27986,P85A_HUMAN,PIK3R1,0.105129868,0.249159336,0.103730009,0.15887207,0.141186801,0.166847901,0.152673071,0.155635591,1.019404337,0.027726396,0.954538846,not significant
sp|P28062|PSB8_HUMAN,P28062,PSB8_HUMAN,PSMB8,1.304132649,1.798798465,0.742793787,1.399153467,1.590807009,2.18030002,1.2819083,1.723420165,1.344417666,0.426981405,0.31550881,not significant
sp|P28065|PSB9_HUMAN,P28065,PSB9_HUMAN,PSMB9,5.709588733,7.602955419,8.433832121,7.074152278,6.962735035,8.183979241,7.248792091,7.406955518,1.02181928,0.031140063,0.868378345,not significant
sp|P28066|PSA5_HUMAN,P28066,PSA5_HUMAN,PSMA5,80.78647767,89.28088115,75.75140938,91.04246676,79.14608932,80.38675161,81.9395894,83.52510256,1.019349782,0.027649186,0.7860592,not significant
sp|P28070|PSB4_HUMAN,P28070,PSB4_HUMAN,PSMB4,2.669725966,4.495937584,5.52173886,3.760281578,3.468194384,6.076125195,4.229134137,4.434867052,1.048646581,0.068528537,0.869304742,not significant
sp|P28072|PSB6_HUMAN,P28072,PSB6_HUMAN,PSMB6,27.35844002,21.29042193,29.27315352,29.41896957,26.76259492,30.47919858,25.97400516,28.88692102,1.112147351,0.153347946,0.333050255,not significant
sp|P28074|PSB5_HUMAN,P28074,PSB5_HUMAN,PSMB5,4.726043531,8.584193857,9.18452634,7.652118471,6.972409146,12.01868983,7.498254576,8.881072482,1.184418639,0.2441791,0.547963552,not significant
sp|P28288|ABCD3_HUMAN,P28288,ABCD3_HUMAN,ABCD3,0.202314489,0.602949699,1.262010989,0.976521778,0.56841275,0.916682373,0.689091726,0.820538967,1.190754346,0.251875814,0.714069717,not significant
sp|P28289|TMOD1_HUMAN,P28289,TMOD1_HUMAN,TMOD1,0.309214546,0.536711241,0.223495307,0.227012696,0.379664008,0.533624034,0.356473698,0.380100246,1.066278517,0.092584326,0.863291762,not significant
sp|P28290|ITPI2_HUMAN,P28290,ITPI2_HUMAN,ITPRID2,0.329928615,0.395703685,0.414230394,0.332718875,0.359017233,0.214602272,0.379954231,0.302112793,0.795129435,-0.330738366,0.203406457,not significant
sp|P28331|NDUS1_HUMAN,P28331,NDUS1_HUMAN,NDUFS1,7.140708424,10.99002311,9.587754315,8.610106629,8.21167126,9.908078103,9.239495283,8.909951997,0.964333194,-0.052396386,0.802922006,not significant
sp|P28340|DPOD1_HUMAN,P28340,DPOD1_HUMAN,POLD1,0.389081585,0.441725635,1.063498572,0.581481896,0.504847979,0.193222777,0.631435264,0.426517551,0.675473124,-0.566029726,0.45334871,not significant
sp|P28370|SMCA1_HUMAN,P28370,SMCA1_HUMAN,SMARCA1,0.178672759,0.54259943,0.179118478,0.000258488,0.000256791,0.000264092,0.300130222,0.00025979,0.000865592,-10.17402514,0.068690407,not significant
sp|P28482|MK01_HUMAN,P28482,MK01_HUMAN,MAPK1,2.458778434,3.086467571,4.452601818,3.893337578,3.355046494,6.709300626,3.332615941,4.652561566,1.396068929,0.481370174,0.331336132,not significant
sp|P28676|GRAN_HUMAN,P28676,GRAN_HUMAN,GCA,3.008336532,2.561712896,2.234804648,3.567682087,4.103042243,2.733356168,2.601618025,3.468026833,1.333026908,0.414705903,0.131020573,not significant
sp|P28799|GRN_HUMAN,P28799,GRN_HUMAN,GRN,2.717170394,2.061656378,1.940742398,2.760801498,2.639522635,1.646815276,2.23985639,2.34904647,1.048748697,0.068669018,0.810961477,not significant
sp|P28838|AMPL_HUMAN,P28838,AMPL_HUMAN,LAP3,41.08645614,35.75768172,26.47492294,36.69164147,35.31028469,31.85849185,34.43968693,34.62013934,1.005239664,0.007539503,0.969965316,not significant
sp|P29034|S10A2_HUMAN,P29034,S10A2_HUMAN,S100A2,0.000249487,0.000241214,0.000253648,0.000258488,0.000256791,0.000264092,0.000248116,0.00025979,1.04705051,0.06633104,0.052175215,not significant
